"our_journal_name","scimago_title","sjr_score","quartile","h_index","subject_areas","open_access","match_type","match_score","paper_count"
"Frontiers in Ecology and the Evolution","Frontiers in Ecology and Evolution","0.846","Q1","76","Agricultural and Biological Sciences; Environmental Science","Yes","fuzzy","0.9444","1"
"Experimental Physiology","Experimental Physiology","0.842","Q2","119","Biochemistry, Genetics and Molecular Biology; Medicine; Nursing","Yes","exact","1.0","1"
"Agriculture","Agriculture (Pol'nohospodarstvo)","0.258","Q3","18","Agricultural and Biological Sciences","Yes","exact","1.0","1"
"Applied Geography","Applied Geography","1.313","Q1","136","Agricultural and Biological Sciences; Business, Management and Accounting; Environmental Science; Social Sciences","No","exact","1.0","1"
"Geological Review","Geological Review","0.285","Q3","15","Earth and Planetary Sciences","No","exact","1.0","1"
"Proceedings of the Nebraska Academy of Sciences","Proceedings of the Estonian Academy of Sciences","0.212","Q3","32","Engineering","Yes","fuzzy","0.8723","1"
"Proteomics","Proteomics","0.983","Q2","186","Biochemistry, Genetics and Molecular Biology","No","exact","1.0","1"
"Sedimentary Geology","Sedimentary Geology","0.932","Q1","138","Earth and Planetary Sciences","No","exact","1.0","1"
"Journal of Molecular Recognition","Journal of Molecular Recognition","0.506","Q3","90","Biochemistry, Genetics and Molecular Biology","No","exact","1.0","1"
"Atoll Reseach Bulletin","Atoll Research Bulletin","0.116","Q4","31","Earth and Planetary Sciences","No","fuzzy","0.9778","1"
"Geological Bulletin of China","Geological Bulletin of China","0.376","Q3","61","Earth and Planetary Sciences","No","exact","1.0","1"
"International Journal of Systematic and Evolutionary Microbiology","International Journal of Systematic and Evolutionary Microbiology","0.749","Q1","205","Agricultural and Biological Sciences; Immunology and Microbiology; Medicine","No","exact","1.0","1"
"American Journal of Physiology. Regulatory Integrative and Comparative Physiology","American Journal of Physiology - Regulatory Integrative and Comparative Physiology","0.945","Q2","198","Biochemistry, Genetics and Molecular Biology; Medicine","No","exact","1.0","1"
"Briefings in Bioinformatics","Briefings in Bioinformatics","2.39","Q1","159","Biochemistry, Genetics and Molecular Biology; Computer Science","Yes","exact","1.0","1"
"Biometrics","Biometrics","1.257","Q1","154","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Mathematics; Medicine","No","exact","1.0","1"
"Journal of Biotechnology","Journal of Biotechnology","0.808","Q2","184","Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Immunology and Microbiology; Medicine","No","exact","1.0","1"
"Proceedings of the Royal Society of Victoria","Proceedings of the Royal Society of Victoria","0.137","Q4","23","Earth and Planetary Sciences; Environmental Science","No","exact","1.0","1"
"Boletim do Museu Paraense Emílio Goeldi Ciências Naturais","Boletim do Museu Paraense Emilio Goeldi: Ciencias Humanas","0.183","Q2","17","Arts and Humanities; Social Sciences","Yes","fuzzy","0.9027","1"
"CCAMLR Cience","CCAMLR Science","0.105","Q4","35","Agricultural and Biological Sciences","No","fuzzy","0.963","1"
"Revista de Geologia","Revista de Neurologia","0.304","Q3","48","Medicine","No","fuzzy","0.9","1"
"Cold Spring Harbor Protocols","Cold Spring Harbor Protocols","0.499","Q2","71","Biochemistry, Genetics and Molecular Biology","No","exact","1.0","1"
"Basic and Applied Ecology","Basic and Applied Ecology","1.143","Q1","101","Agricultural and Biological Sciences","Yes","exact","1.0","1"
"BMC Biotechnology","BMC Biotechnology","0.77","Q2","99","Biochemistry, Genetics and Molecular Biology","Yes","exact","1.0","1"
"Geobios(Jodhpur)","Geobios","0.558","Q2","60","Earth and Planetary Sciences","No","exact","1.0","1"
"Boletin De La Sociedad Geologica Mexicana","Boletin de la Sociedad Geologica Mexicana","0.211","Q3","23","Earth and Planetary Sciences","Yes","exact","1.0","1"
"Tissue Engineering and Regenerative Medicine","Tissue Engineering and Regenerative Medicine","0.978","Q1","43","Engineering; Medicine","No","exact","1.0","1"
"Chaos","Chaos","0.77","Q1","134","Mathematics; Medicine; Physics and Astronomy","No","exact","1.0","1"
"Annales Series Historia Naturalis","Annales, Series Historia Naturalis","0.155","Q4","10","Agricultural and Biological Sciences","Yes","exact","1.0","1"
"Turkish Journal of Veterinary and Animal Sciences","Turkish Journal of Veterinary and Animal Sciences","0.228","Q3","44","Veterinary","Yes","exact","1.0","1"
"Data in Brief","Data in Brief","0.198","Q3","60","Multidisciplinary; Social Sciences","Yes","exact","1.0","1"
"Frontiers in Neuroscience","Frontiers in Neuroscience","1.068","Q2","170","Neuroscience","Yes","exact","1.0","1"
"Analytical Methods","Analytical Methods","0.478","Q2","104","Chemical Engineering; Chemistry; Engineering","No","exact","1.0","1"
"Acta Orthopaedica Et Traumatologica Turcica","Acta Orthopaedica et Traumatologica Turcica","0.408","Q2","41","Medicine","Yes","exact","1.0","1"
"Journal of Sleep Research","Journal of Sleep Research","1.525","Q1","146","Medicine; Neuroscience","No","exact","1.0","1"
"Journal of Science: Advanced Materials and Devices","Journal of Science: Advanced Materials and Devices","1.133","Q1","60","Materials Science","Yes","exact","1.0","1"
"Journal of Vertebrate Biology","Journal of Vertebrate Biology","0.549","Q1","41","Agricultural and Biological Sciences","No","exact","1.0","1"
"Aquaculture and Fisheries","Aquaculture and Fisheries","0.703","Q1","35","Agricultural and Biological Sciences; Environmental Science","Yes","exact","1.0","1"
"Indian Journal of Traditional Knowledge","Indian Journal of Traditional Knowledge","0.269","Q3","45","Health Professions; Medicine","Yes","exact","1.0","1"
"Journal of Applied Toxicology","Journal of Applied Toxicology","0.745","Q2","106","Pharmacology, Toxicology and Pharmaceutics","No","exact","1.0","1"
"IEEE Antennas and Wireless Propagation Letters","IEEE Antennas and Wireless Propagation Letters","1.682","Q1","159","Engineering","No","exact","1.0","1"
"Comptes Rendus Geoscience","Comptes Rendus - Geoscience","0.568","Q2","98","Earth and Planetary Sciences; Environmental Science","Yes","exact","1.0","1"
"Proceedings of the Indian National Science Academy","Proceedings of the Indian National Science Academy","0.394","Q2","29","Biochemistry, Genetics and Molecular Biology; Physics and Astronomy","Yes","exact","1.0","1"
"Journal of Marine Biological Association of India","Journal of the Marine Biological Association of India","0.158","Q4","4","Agricultural and Biological Sciences; Environmental Science","No","fuzzy","0.9608","1"
"Journal of Ophthalmology","Journal of Ophthalmology","0.815","Q2","65","Medicine","Yes","exact","1.0","1"
"Biharean Biologist","Biharean Biologist","0.158","Q4","12","Agricultural and Biological Sciences","Yes","exact","1.0","1"
"Ecologia Austral","Ecologia Austral","0.272","Q3","36","Agricultural and Biological Sciences; Environmental Science","Yes","exact","1.0","1"
"Conservation and Society","Conservation and Society","0.504","Q2","54","Agricultural and Biological Sciences; Environmental Science","Yes","exact","1.0","1"
"Journal of Field Robotics","Journal of Field Robotics","1.075","Q1","120","Computer Science; Engineering","No","exact","1.0","1"
"Journal of Indian Ocean Studies","Journal of Indian Ocean World Studies","0.121","Q2","4","Arts and Humanities; Social Sciences","Yes","fuzzy","0.9118","1"
"Biotechnology and Bioprocess Engineering","Biotechnology and Bioprocess Engineering","0.616","Q2","70","Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Engineering; Immunology and Microbiology","No","exact","1.0","1"
"International Journal of Comparative Psychology","International Journal of Comparative Psychology","0.232","Q3","14","Psychology","Yes","exact","1.0","1"
"Central European Geology","Central European Geology","0.225","Q3","27","Earth and Planetary Sciences","No","exact","1.0","1"
"Animal Biology","Animal Biology","0.272","Q3","37","Agricultural and Biological Sciences","No","exact","1.0","1"
"Probiotics Antimicrob Proteins","Probiotics and Antimicrobial Proteins","0.967","Q2","63","Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology","No","fuzzy","0.8955","1"
"Journal of Archaeological Science","Journal of Archaeological Science","1.242","Q1","159","Arts and Humanities; Social Sciences","No","exact","1.0","1"
"Nature Conservation Bureau","Nature Conservation Research","0.307","Q2","20","Agricultural and Biological Sciences; Earth and Planetary Sciences; Environmental Science","Yes","fuzzy","0.8519","1"
"Metallomics","Metallomics","0.676","Q1","101","Biochemistry, Genetics and Molecular Biology; Chemistry; Materials Science; Medicine","No","exact","1.0","1"
"Foot & Ankle Specialist","Foot and Ankle Specialist","0.648","Q1","39","Health Professions; Medicine","No","exact","1.0","1"
"Southwestern Naturalist","Southwestern Naturalist","0.197","Q4","36","Agricultural and Biological Sciences","No","exact","1.0","1"
"Vestnik – Sankt–Peterburgskogo Universiteta","Vestnik Sankt-Peterburgskogo Universiteta. Pravo","0.231","Q2","6","Social Sciences","No","fuzzy","0.9318","1"
"Artificial Cells Nanomedicine and Biotechnology","Artificial Cells, Nanomedicine and Biotechnology","0.739","Q1","96","Biochemistry, Genetics and Molecular Biology; Engineering; Medicine; Pharmacology, Toxicology and Pharmaceutics","Yes","exact","1.0","1"
"Theriogenology","Theriogenology","0.705","Q1","153","Agricultural and Biological Sciences; Veterinary","No","exact","1.0","1"
"Histochemistry and Cell Biology","Histochemistry and Cell Biology","0.751","Q1","117","Biochemistry, Genetics and Molecular Biology; Health Professions; Medicine","No","exact","1.0","1"
"Neues Jahrbuch Fur Geologie Und Palaontologie-Abhandlungen","Neues Jahrbuch fur Geologie und Palaontologie - Abhandlungen","0.425","Q3","46","Earth and Planetary Sciences","No","exact","1.0","1"
"Anales de la Sociedad Científica Argentina","Anales de la Asociacion Fisica Argentina","0.104","Q4","4","Physics and Astronomy","Yes","fuzzy","0.8537","1"
"Environment Development and Sustainability","Environment, Development and Sustainability","0.958","Q1","96","Economics, Econometrics and Finance; Environmental Science; Social Sciences","No","exact","1.0","1"
"Journal of Experimental Zoology Part a-Ecological and Integrative Physiology","Journal of Experimental Zoology Part A: Ecological and Integrative Physiology","0.647","Q1","28","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology","No","exact","1.0","1"
"Geobiology","Geobiology","1.318","Q1","89","Agricultural and Biological Sciences; Earth and Planetary Sciences; Environmental Science","No","exact","1.0","1"
"Proceedings of the USSR Academy of Science","Proceedings of the Estonian Academy of Sciences","0.212","Q3","32","Engineering","Yes","fuzzy","0.8764","1"
"Indian Journal of Animal Sciences","Indian Journal of Animal Sciences","0.188","Q3","29","Agricultural and Biological Sciences; Veterinary","Yes","exact","1.0","1"
"Polar Science","Polar Science","0.528","Q2","39","Agricultural and Biological Sciences; Earth and Planetary Sciences; Environmental Science","No","exact","1.0","1"
"Trends In Ecology & Evolution","Trends in Ecology and Evolution","4.876","Q1","396","Agricultural and Biological Sciences","No","exact","1.0","1"
"Southeastern Archaeology","Southeastern Archaeology","0.396","Q1","27","Social Sciences","No","exact","1.0","1"
"South African Journal of Marine Research","South African Journal of Accounting Research","0.263","Q3","10","Business, Management and Accounting","No","fuzzy","0.881","1"
"Acta Medicine Okayama","Acta Medica Okayama","0.263","Q3","45","Biochemistry, Genetics and Molecular Biology; Medicine","Yes","fuzzy","0.9","1"
"International Journal of Earth Sciences","International Journal of Earth Sciences","0.696","Q1","113","Earth and Planetary Sciences","No","exact","1.0","1"
"European Archives of Oto–Rhino–Laryngology","European Archives of Oto-Rhino-Laryngology","0.787","Q1","94","Medicine","No","exact","1.0","1"
"The Annals of Thoracic Surgery","Annals of Thoracic Surgery","1.226","Q1","230","Medicine","No","exact","1.0","1"
"Biodiversity Journal","Biodiversity Data Journal","0.351","Q2","33","Agricultural and Biological Sciences; Environmental Science","Yes","fuzzy","0.8889","1"
"Revista del Museo Argentino de Ciencias Naturales ""B. Rivadavia""","Revista del Museo Argentino de Ciencias Naturales, Nueva Serie","0.316","Q3","20","Agricultural and Biological Sciences; Earth and Planetary Sciences","Yes","fuzzy","0.8689","1"
"International Journal of Biosciences","International Journal of Nanoscience","0.221","Q3","34","Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Computer Science; Engineering; Materials Science; Physics and Astronomy","No","fuzzy","0.9167","1"
"Western Indian Ocean Journal of Marine Science","Western Indian Ocean Journal of Marine Science","0.227","Q3","8","Environmental Science","Yes","exact","1.0","1"
"BMC Immunology","BMC Immunology","0.818","Q3","76","Immunology and Microbiology","Yes","exact","1.0","1"
"The Wilson Journal of Ornithology","Wilson Journal of Ornithology","0.218","Q3","49","Agricultural and Biological Sciences; Environmental Science","No","exact","1.0","1"
"Journal of Biophysics","Journal of Biophotonics","0.531","Q2","84","Biochemistry, Genetics and Molecular Biology; Chemistry; Engineering; Materials Science; Physics and Astronomy","No","fuzzy","0.8636","1"
"Bulletin of the Biogeographical Society of Japan","Bulletin of the Chemical Society of Japan","0.678","Q2","108","Chemistry","No","fuzzy","0.8539","1"
"Bulletin de la Société d'Etude des Sciences Naturelles d'Elbeuf","Bulletin de la Societe Vaudoise des Sciences Naturelles","0.188","Q3","11","Multidisciplinary","No","fuzzy","0.8621","1"
"Coastal Management","Coastal Management","0.544","Q2","61","Environmental Science","No","exact","1.0","1"
